Rk,PER,TS%,FTr,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
196,15.7,0.554,0.172,19.6,2.2,2.3,4.5,0.088,0.3,0.2,0.6,1.6
196,15.3,0.546,0.172,19,1.2,1.4,2.6,0.075,0,0.2,0.2,0.9
196,16.6,0.571,0.172,20.7,1,0.9,1.9,0.114,1,0.3,1.3,0.7
197,10,0.468,0.192,10.4,0.2,1.2,1.4,0.086,-3.1,1.3,-1.8,0
197,11.4,0.47,0.219,10.4,0.1,0.2,0.3,0.081,-2.4,0.8,-1.6,0
197,9.6,0.467,0.184,10.4,0.1,0.9,1.1,0.088,-3.3,1.5,-1.9,0
198,16.2,0.52,0.369,23.1,2.2,1.5,3.6,0.062,1,-0.2,0.8,2
199,13.1,0.507,0.332,22.1,0.8,2.8,3.6,0.071,-1.6,0.1,-1.5,0.3
200,12.3,0.511,0.513,23.1,-0.1,0.5,0.3,0.017,-2.4,-0.5,-2.8,-0.2
201,17.9,0.543,0.277,20.3,1.7,1.5,3.3,0.084,-0.3,-0.2,-0.5,0.7
202,13.5,0.499,0.357,19.4,0.5,5,5.4,0.108,-2.9,1.5,-1.4,0.4
